reading_id,room_id,submitted_by,reading_value_kwh,previous_reading_value_kwh,usage_delta_kwh,reading_period_start,reading_period_end,submitted_at,source,verification_status
READ-2020-W18-R-101,R-101,budi.santoso@ampera.com,1124.4071,1068.6094,55.7977,2020-04-27T00:00:00Z,2020-05-03T23:00:00Z,2020-05-03T23:00:00Z,seed_dataset,verified
READ-2020-W19-R-101,R-101,budi.santoso@ampera.com,1180.2665,1124.4071,55.8594,2020-05-04T00:00:00Z,2020-05-10T23:00:00Z,2020-05-10T23:00:00Z,seed_dataset,verified
READ-2020-W20-R-101,R-101,budi.santoso@ampera.com,1236.3906,1180.2665,56.1241,2020-05-11T00:00:00Z,2020-05-17T23:00:00Z,2020-05-17T23:00:00Z,seed_dataset,verified
READ-2020-W21-R-101,R-101,budi.santoso@ampera.com,1292.9420,1236.3906,56.5514,2020-05-18T00:00:00Z,2020-05-24T23:00:00Z,2020-05-24T23:00:00Z,seed_dataset,verified
READ-2020-W22-R-101,R-101,budi.santoso@ampera.com,1349.5439,1292.9420,56.6019,2020-05-25T00:00:00Z,2020-05-31T23:00:00Z,2020-05-31T23:00:00Z,seed_dataset,verified
READ-2020-W23-R-101,R-101,budi.santoso@ampera.com,1421.7000,1349.5439,72.1561,2020-06-01T00:00:00Z,2020-06-07T23:00:00Z,2020-06-07T23:00:00Z,seed_dataset,verified
READ-2020-W24-R-101,R-101,budi.santoso@ampera.com,1492.9360,1421.7000,71.2360,2020-06-08T00:00:00Z,2020-06-14T23:00:00Z,2020-06-14T23:00:00Z,seed_dataset,verified
READ-2020-W25-R-101,R-101,budi.santoso@ampera.com,1565.4880,1492.9360,72.5520,2020-06-15T00:00:00Z,2020-06-21T23:00:00Z,2020-06-21T23:00:00Z,seed_dataset,verified
READ-2020-W26-R-101,R-101,budi.santoso@ampera.com,1636.9205,1565.4880,71.4325,2020-06-22T00:00:00Z,2020-06-28T23:00:00Z,2020-06-28T23:00:00Z,seed_dataset,verified
READ-2020-W27-R-101,R-101,budi.santoso@ampera.com,1708.5219,1636.9205,71.6014,2020-06-29T00:00:00Z,2020-07-05T23:00:00Z,2020-07-05T23:00:00Z,seed_dataset,verified
READ-2020-W28-R-101,R-101,budi.santoso@ampera.com,1778.4825,1708.5219,69.9606,2020-07-06T00:00:00Z,2020-07-12T23:00:00Z,2020-07-12T23:00:00Z,seed_dataset,verified
READ-2020-W29-R-101,R-101,budi.santoso@ampera.com,1850.8644,1778.4825,72.3819,2020-07-13T00:00:00Z,2020-07-19T23:00:00Z,2020-07-19T23:00:00Z,seed_dataset,verified
READ-2020-W30-R-101,R-101,budi.santoso@ampera.com,1920.4157,1850.8644,69.5513,2020-07-20T00:00:00Z,2020-07-26T23:00:00Z,2020-07-26T23:00:00Z,seed_dataset,verified
READ-2020-W31-R-101,R-101,budi.santoso@ampera.com,1994.3018,1920.4157,73.8861,2020-07-27T00:00:00Z,2020-08-02T23:00:00Z,2020-08-02T23:00:00Z,seed_dataset,verified
READ-2020-W32-R-101,R-101,budi.santoso@ampera.com,2064.4716,1994.3018,70.1698,2020-08-03T00:00:00Z,2020-08-09T23:00:00Z,2020-08-09T23:00:00Z,seed_dataset,verified
READ-2020-W33-R-101,R-101,budi.santoso@ampera.com,2132.9314,2064.4716,68.4598,2020-08-10T00:00:00Z,2020-08-16T23:00:00Z,2020-08-16T23:00:00Z,seed_dataset,verified
READ-2020-W34-R-101,R-101,budi.santoso@ampera.com,2206.5545,2132.9314,73.6231,2020-08-17T00:00:00Z,2020-08-23T23:00:00Z,2020-08-23T23:00:00Z,seed_dataset,verified
READ-2020-W35-R-101,R-101,budi.santoso@ampera.com,2277.5477,2206.5545,70.9932,2020-08-24T00:00:00Z,2020-08-30T23:00:00Z,2020-08-30T23:00:00Z,seed_dataset,verified
READ-2020-W36-R-101,R-101,budi.santoso@ampera.com,2349.2112,2277.5477,71.6635,2020-08-31T00:00:00Z,2020-09-06T23:00:00Z,2020-09-06T23:00:00Z,seed_dataset,verified
READ-2020-W37-R-101,R-101,budi.santoso@ampera.com,2423.8711,2349.2112,74.6599,2020-09-07T00:00:00Z,2020-09-13T23:00:00Z,2020-09-13T23:00:00Z,seed_dataset,verified
READ-2020-W38-R-101,R-101,budi.santoso@ampera.com,2494.2594,2423.8711,70.3883,2020-09-14T00:00:00Z,2020-09-20T23:00:00Z,2020-09-20T23:00:00Z,seed_dataset,verified
READ-2020-W39-R-101,R-101,budi.santoso@ampera.com,2562.9140,2494.2594,68.6546,2020-09-21T00:00:00Z,2020-09-27T23:00:00Z,2020-09-27T23:00:00Z,seed_dataset,verified
READ-2020-W40-R-101,R-101,budi.santoso@ampera.com,2625.1378,2562.9140,62.2238,2020-09-28T00:00:00Z,2020-10-04T23:00:00Z,2020-10-04T23:00:00Z,seed_dataset,verified
READ-2020-W41-R-101,R-101,budi.santoso@ampera.com,2679.7329,2625.1378,54.5951,2020-10-05T00:00:00Z,2020-10-11T23:00:00Z,2020-10-11T23:00:00Z,seed_dataset,verified
READ-2020-W42-R-101,R-101,budi.santoso@ampera.com,2736.5196,2679.7329,56.7867,2020-10-12T00:00:00Z,2020-10-18T23:00:00Z,2020-10-18T23:00:00Z,seed_dataset,verified
READ-2020-W43-R-101,R-101,budi.santoso@ampera.com,2791.8137,2736.5196,55.2941,2020-10-19T00:00:00Z,2020-10-25T23:00:00Z,2020-10-25T23:00:00Z,seed_dataset,verified
READ-2020-W44-R-101,R-101,budi.santoso@ampera.com,2847.0427,2791.8137,55.2290,2020-10-26T00:00:00Z,2020-11-01T23:00:00Z,2020-11-01T23:00:00Z,seed_dataset,verified
READ-2020-W45-R-101,R-101,budi.santoso@ampera.com,2904.0713,2847.0427,57.0286,2020-11-02T00:00:00Z,2020-11-08T23:00:00Z,2020-11-08T23:00:00Z,seed_dataset,verified
READ-2020-W46-R-101,R-101,budi.santoso@ampera.com,2961.1350,2904.0713,57.0637,2020-11-09T00:00:00Z,2020-11-15T23:00:00Z,2020-11-15T23:00:00Z,seed_dataset,verified
READ-2020-W47-R-101,R-101,budi.santoso@ampera.com,3017.9606,2961.1350,56.8256,2020-11-16T00:00:00Z,2020-11-22T23:00:00Z,2020-11-22T23:00:00Z,seed_dataset,verified
READ-2020-W48-R-101,R-101,budi.santoso@ampera.com,3074.3572,3017.9606,56.3966,2020-11-23T00:00:00Z,2020-11-29T23:00:00Z,2020-11-29T23:00:00Z,seed_dataset,verified
READ-2020-W49-R-101,R-101,budi.santoso@ampera.com,3146.8212,3074.3572,72.4640,2020-11-30T00:00:00Z,2020-12-06T23:00:00Z,2020-12-06T23:00:00Z,seed_dataset,verified
READ-2020-W50-R-101,R-101,budi.santoso@ampera.com,3212.5188,3146.8212,65.6976,2020-12-07T00:00:00Z,2020-12-13T23:00:00Z,2020-12-13T23:00:00Z,seed_dataset,verified
READ-2020-W51-R-101,R-101,budi.santoso@ampera.com,3286.9121,3212.5188,74.3933,2020-12-14T00:00:00Z,2020-12-20T23:00:00Z,2020-12-20T23:00:00Z,seed_dataset,verified
READ-2020-W52-R-101,R-101,budi.santoso@ampera.com,3352.7132,3286.9121,65.8011,2020-12-21T00:00:00Z,2020-12-27T23:00:00Z,2020-12-27T23:00:00Z,seed_dataset,verified
READ-2020-W53-R-101,R-101,budi.santoso@ampera.com,3422.3544,3352.7132,69.6412,2020-12-28T00:00:00Z,2021-01-03T23:00:00Z,2021-01-03T23:00:00Z,seed_dataset,verified
READ-2021-W01-R-101,R-101,budi.santoso@ampera.com,3496.0506,3422.3544,73.6962,2021-01-04T00:00:00Z,2021-01-10T23:00:00Z,2021-01-10T23:00:00Z,seed_dataset,verified
READ-2021-W02-R-101,R-101,budi.santoso@ampera.com,3563.3882,3496.0506,67.3376,2021-01-11T00:00:00Z,2021-01-17T23:00:00Z,2021-01-17T23:00:00Z,seed_dataset,verified
READ-2021-W03-R-101,R-101,budi.santoso@ampera.com,3630.5860,3563.3882,67.1978,2021-01-18T00:00:00Z,2021-01-24T23:00:00Z,2021-01-24T23:00:00Z,seed_dataset,verified
READ-2021-W04-R-101,R-101,budi.santoso@ampera.com,3699.1290,3630.5860,68.5430,2021-01-25T00:00:00Z,2021-01-31T23:00:00Z,2021-01-31T23:00:00Z,seed_dataset,verified
READ-2021-W05-R-101,R-101,budi.santoso@ampera.com,3765.5640,3699.1290,66.4350,2021-02-01T00:00:00Z,2021-02-07T23:00:00Z,2021-02-07T23:00:00Z,seed_dataset,verified
READ-2021-W06-R-101,R-101,budi.santoso@ampera.com,3834.7085,3765.5640,69.1445,2021-02-08T00:00:00Z,2021-02-14T23:00:00Z,2021-02-14T23:00:00Z,seed_dataset,verified
READ-2021-W07-R-101,R-101,budi.santoso@ampera.com,3901.7371,3834.7085,67.0286,2021-02-15T00:00:00Z,2021-02-21T23:00:00Z,2021-02-21T23:00:00Z,seed_dataset,verified
READ-2021-W08-R-101,R-101,budi.santoso@ampera.com,3969.8686,3901.7371,68.1315,2021-02-22T00:00:00Z,2021-02-28T23:00:00Z,2021-02-28T23:00:00Z,seed_dataset,verified
READ-2021-W09-R-101,R-101,budi.santoso@ampera.com,4024.9494,3969.8686,55.0808,2021-03-01T00:00:00Z,2021-03-07T23:00:00Z,2021-03-07T23:00:00Z,seed_dataset,verified
READ-2021-W10-R-101,R-101,budi.santoso@ampera.com,4081.5099,4024.9494,56.5605,2021-03-08T00:00:00Z,2021-03-14T23:00:00Z,2021-03-14T23:00:00Z,seed_dataset,verified
READ-2021-W11-R-101,R-101,budi.santoso@ampera.com,4136.8125,4081.5099,55.3026,2021-03-15T00:00:00Z,2021-03-21T23:00:00Z,2021-03-21T23:00:00Z,seed_dataset,verified
READ-2021-W12-R-101,R-101,budi.santoso@ampera.com,4193.4872,4136.8125,56.6747,2021-03-22T00:00:00Z,2021-03-28T23:00:00Z,2021-03-28T23:00:00Z,seed_dataset,verified
READ-2021-W13-R-101,R-101,budi.santoso@ampera.com,4248.9494,4193.4872,55.4622,2021-03-29T00:00:00Z,2021-04-04T23:00:00Z,2021-04-04T23:00:00Z,seed_dataset,verified
READ-2021-W14-R-101,R-101,budi.santoso@ampera.com,4304.1969,4248.9494,55.2475,2021-04-05T00:00:00Z,2021-04-11T23:00:00Z,2021-04-11T23:00:00Z,seed_dataset,verified
READ-2021-W15-R-101,R-101,budi.santoso@ampera.com,4359.0558,4304.1969,54.8589,2021-04-12T00:00:00Z,2021-04-18T23:00:00Z,2021-04-18T23:00:00Z,seed_dataset,verified
READ-2021-W16-R-101,R-101,budi.santoso@ampera.com,4415.1942,4359.0558,56.1384,2021-04-19T00:00:00Z,2021-04-25T23:00:00Z,2021-04-25T23:00:00Z,seed_dataset,verified
READ-2021-W17-R-101,R-101,budi.santoso@ampera.com,4472.3181,4415.1942,57.1239,2021-04-26T00:00:00Z,2021-05-02T23:00:00Z,2021-05-02T23:00:00Z,seed_dataset,verified
READ-2021-W18-R-101,R-101,budi.santoso@ampera.com,4527.5277,4472.3181,55.2096,2021-05-03T00:00:00Z,2021-05-09T23:00:00Z,2021-05-09T23:00:00Z,seed_dataset,verified
READ-2021-W19-R-101,R-101,budi.santoso@ampera.com,4582.7303,4527.5277,55.2026,2021-05-10T00:00:00Z,2021-05-16T23:00:00Z,2021-05-16T23:00:00Z,seed_dataset,verified
READ-2021-W20-R-101,R-101,budi.santoso@ampera.com,4639.6678,4582.7303,56.9375,2021-05-17T00:00:00Z,2021-05-23T23:00:00Z,2021-05-23T23:00:00Z,seed_dataset,verified
READ-2021-W21-R-101,R-101,budi.santoso@ampera.com,4697.6371,4639.6678,57.9693,2021-05-24T00:00:00Z,2021-05-30T23:00:00Z,2021-05-30T23:00:00Z,seed_dataset,verified
READ-2021-W22-R-101,R-101,budi.santoso@ampera.com,4765.0900,4697.6371,67.4529,2021-05-31T00:00:00Z,2021-06-06T23:00:00Z,2021-06-06T23:00:00Z,seed_dataset,verified
READ-2021-W23-R-101,R-101,budi.santoso@ampera.com,4838.1501,4765.0900,73.0601,2021-06-07T00:00:00Z,2021-06-13T23:00:00Z,2021-06-13T23:00:00Z,seed_dataset,verified
READ-2021-W24-R-101,R-101,budi.santoso@ampera.com,4907.3804,4838.1501,69.2303,2021-06-14T00:00:00Z,2021-06-20T23:00:00Z,2021-06-20T23:00:00Z,seed_dataset,verified
READ-2021-W25-R-101,R-101,budi.santoso@ampera.com,4975.6759,4907.3804,68.2955,2021-06-21T00:00:00Z,2021-06-27T23:00:00Z,2021-06-27T23:00:00Z,seed_dataset,verified
READ-2021-W26-R-101,R-101,budi.santoso@ampera.com,5046.1720,4975.6759,70.4961,2021-06-28T00:00:00Z,2021-07-04T23:00:00Z,2021-07-04T23:00:00Z,seed_dataset,verified
READ-2021-W27-R-101,R-101,budi.santoso@ampera.com,5118.5362,5046.1720,72.3642,2021-07-05T00:00:00Z,2021-07-11T23:00:00Z,2021-07-11T23:00:00Z,seed_dataset,verified
READ-2021-W28-R-101,R-101,budi.santoso@ampera.com,5188.5987,5118.5362,70.0625,2021-07-12T00:00:00Z,2021-07-18T23:00:00Z,2021-07-18T23:00:00Z,seed_dataset,verified
READ-2021-W29-R-101,R-101,budi.santoso@ampera.com,5261.5192,5188.5987,72.9205,2021-07-19T00:00:00Z,2021-07-25T23:00:00Z,2021-07-25T23:00:00Z,seed_dataset,verified
READ-2021-W30-R-101,R-101,budi.santoso@ampera.com,5335.5276,5261.5192,74.0084,2021-07-26T00:00:00Z,2021-08-01T23:00:00Z,2021-08-01T23:00:00Z,seed_dataset,verified
READ-2021-W31-R-101,R-101,budi.santoso@ampera.com,5408.3348,5335.5276,72.8072,2021-08-02T00:00:00Z,2021-08-08T23:00:00Z,2021-08-08T23:00:00Z,seed_dataset,verified
READ-2021-W32-R-101,R-101,budi.santoso@ampera.com,5479.5418,5408.3348,71.2070,2021-08-09T00:00:00Z,2021-08-15T23:00:00Z,2021-08-15T23:00:00Z,seed_dataset,verified
READ-2021-W33-R-101,R-101,budi.santoso@ampera.com,5551.9360,5479.5418,72.3942,2021-08-16T00:00:00Z,2021-08-22T23:00:00Z,2021-08-22T23:00:00Z,seed_dataset,verified
READ-2021-W34-R-101,R-101,budi.santoso@ampera.com,5622.5062,5551.9360,70.5702,2021-08-23T00:00:00Z,2021-08-29T23:00:00Z,2021-08-29T23:00:00Z,seed_dataset,verified
READ-2021-W35-R-101,R-101,budi.santoso@ampera.com,5693.7742,5622.5062,71.2680,2021-08-30T00:00:00Z,2021-09-05T23:00:00Z,2021-09-05T23:00:00Z,seed_dataset,verified
READ-2021-W36-R-101,R-101,budi.santoso@ampera.com,5764.4969,5693.7742,70.7227,2021-09-06T00:00:00Z,2021-09-12T23:00:00Z,2021-09-12T23:00:00Z,seed_dataset,verified
READ-2021-W37-R-101,R-101,budi.santoso@ampera.com,5835.0330,5764.4969,70.5361,2021-09-13T00:00:00Z,2021-09-19T23:00:00Z,2021-09-19T23:00:00Z,seed_dataset,verified
READ-2021-W38-R-101,R-101,budi.santoso@ampera.com,5908.3488,5835.0330,73.3158,2021-09-20T00:00:00Z,2021-09-26T23:00:00Z,2021-09-26T23:00:00Z,seed_dataset,verified
READ-2021-W39-R-101,R-101,budi.santoso@ampera.com,5973.5563,5908.3488,65.2075,2021-09-27T00:00:00Z,2021-10-03T23:00:00Z,2021-10-03T23:00:00Z,seed_dataset,verified
READ-2021-W40-R-101,R-101,budi.santoso@ampera.com,6029.6072,5973.5563,56.0509,2021-10-04T00:00:00Z,2021-10-10T23:00:00Z,2021-10-10T23:00:00Z,seed_dataset,verified
READ-2021-W41-R-101,R-101,budi.santoso@ampera.com,6087.3001,6029.6072,57.6929,2021-10-11T00:00:00Z,2021-10-17T23:00:00Z,2021-10-17T23:00:00Z,seed_dataset,verified
READ-2021-W42-R-101,R-101,budi.santoso@ampera.com,6144.2036,6087.3001,56.9035,2021-10-18T00:00:00Z,2021-10-24T23:00:00Z,2021-10-24T23:00:00Z,seed_dataset,verified
READ-2021-W43-R-101,R-101,budi.santoso@ampera.com,6201.8758,6144.2036,57.6722,2021-10-25T00:00:00Z,2021-10-31T23:00:00Z,2021-10-31T23:00:00Z,seed_dataset,verified
READ-2021-W44-R-101,R-101,budi.santoso@ampera.com,6257.5312,6201.8758,55.6554,2021-11-01T00:00:00Z,2021-11-07T23:00:00Z,2021-11-07T23:00:00Z,seed_dataset,verified
READ-2021-W45-R-101,R-101,budi.santoso@ampera.com,6312.5164,6257.5312,54.9852,2021-11-08T00:00:00Z,2021-11-14T23:00:00Z,2021-11-14T23:00:00Z,seed_dataset,verified
READ-2021-W46-R-101,R-101,budi.santoso@ampera.com,6370.1278,6312.5164,57.6114,2021-11-15T00:00:00Z,2021-11-21T23:00:00Z,2021-11-21T23:00:00Z,seed_dataset,verified
READ-2021-W47-R-101,R-101,budi.santoso@ampera.com,6425.7930,6370.1278,55.6652,2021-11-22T00:00:00Z,2021-11-28T23:00:00Z,2021-11-28T23:00:00Z,seed_dataset,verified
READ-2021-W48-R-101,R-101,budi.santoso@ampera.com,6491.9185,6425.7930,66.1255,2021-11-29T00:00:00Z,2021-12-05T23:00:00Z,2021-12-05T23:00:00Z,seed_dataset,verified
READ-2021-W49-R-101,R-101,budi.santoso@ampera.com,6558.6145,6491.9185,66.6960,2021-12-06T00:00:00Z,2021-12-12T23:00:00Z,2021-12-12T23:00:00Z,seed_dataset,verified
READ-2021-W50-R-101,R-101,budi.santoso@ampera.com,6633.8290,6558.6145,75.2145,2021-12-13T00:00:00Z,2021-12-19T23:00:00Z,2021-12-19T23:00:00Z,seed_dataset,verified
READ-2021-W51-R-101,R-101,budi.santoso@ampera.com,6701.7896,6633.8290,67.9606,2021-12-20T00:00:00Z,2021-12-26T23:00:00Z,2021-12-26T23:00:00Z,seed_dataset,verified
READ-2021-W52-R-101,R-101,budi.santoso@ampera.com,6769.7110,6701.7896,67.9214,2021-12-27T00:00:00Z,2022-01-02T23:00:00Z,2022-01-02T23:00:00Z,seed_dataset,verified
READ-2022-W01-R-101,R-101,budi.santoso@ampera.com,6842.2380,6769.7110,72.5270,2022-01-03T00:00:00Z,2022-01-09T23:00:00Z,2022-01-09T23:00:00Z,seed_dataset,verified
READ-2022-W02-R-101,R-101,budi.santoso@ampera.com,6908.9561,6842.2380,66.7181,2022-01-10T00:00:00Z,2022-01-16T23:00:00Z,2022-01-16T23:00:00Z,seed_dataset,verified
READ-2022-W03-R-101,R-101,budi.santoso@ampera.com,6976.8843,6908.9561,67.9282,2022-01-17T00:00:00Z,2022-01-23T23:00:00Z,2022-01-23T23:00:00Z,seed_dataset,verified
READ-2022-W04-R-101,R-101,budi.santoso@ampera.com,7045.7896,6976.8843,68.9053,2022-01-24T00:00:00Z,2022-01-30T23:00:00Z,2022-01-30T23:00:00Z,seed_dataset,verified
READ-2022-W05-R-101,R-101,budi.santoso@ampera.com,7112.9568,7045.7896,67.1672,2022-01-31T00:00:00Z,2022-02-06T23:00:00Z,2022-02-06T23:00:00Z,seed_dataset,verified
READ-2022-W06-R-101,R-101,budi.santoso@ampera.com,7181.0108,7112.9568,68.0540,2022-02-07T00:00:00Z,2022-02-13T23:00:00Z,2022-02-13T23:00:00Z,seed_dataset,verified
READ-2022-W07-R-101,R-101,budi.santoso@ampera.com,7255.3261,7181.0108,74.3153,2022-02-14T00:00:00Z,2022-02-20T23:00:00Z,2022-02-20T23:00:00Z,seed_dataset,verified
READ-2022-W08-R-101,R-101,budi.santoso@ampera.com,7323.1585,7255.3261,67.8324,2022-02-21T00:00:00Z,2022-02-27T23:00:00Z,2022-02-27T23:00:00Z,seed_dataset,verified
READ-2022-W09-R-101,R-101,budi.santoso@ampera.com,7380.5226,7323.1585,57.3641,2022-02-28T00:00:00Z,2022-03-06T23:00:00Z,2022-03-06T23:00:00Z,seed_dataset,verified
READ-2022-W10-R-101,R-101,budi.santoso@ampera.com,7436.3523,7380.5226,55.8297,2022-03-07T00:00:00Z,2022-03-13T23:00:00Z,2022-03-13T23:00:00Z,seed_dataset,verified
READ-2022-W11-R-101,R-101,budi.santoso@ampera.com,7492.1364,7436.3523,55.7841,2022-03-14T00:00:00Z,2022-03-20T23:00:00Z,2022-03-20T23:00:00Z,seed_dataset,verified
READ-2022-W12-R-101,R-101,budi.santoso@ampera.com,7546.9992,7492.1364,54.8628,2022-03-21T00:00:00Z,2022-03-27T23:00:00Z,2022-03-27T23:00:00Z,seed_dataset,verified
READ-2022-W13-R-101,R-101,budi.santoso@ampera.com,7603.4450,7546.9992,56.4458,2022-03-28T00:00:00Z,2022-04-03T23:00:00Z,2022-04-03T23:00:00Z,seed_dataset,verified
READ-2022-W14-R-101,R-101,budi.santoso@ampera.com,7659.9844,7603.4450,56.5394,2022-04-04T00:00:00Z,2022-04-10T23:00:00Z,2022-04-10T23:00:00Z,seed_dataset,verified
READ-2022-W15-R-101,R-101,budi.santoso@ampera.com,7714.6380,7659.9844,54.6536,2022-04-11T00:00:00Z,2022-04-17T23:00:00Z,2022-04-17T23:00:00Z,seed_dataset,verified
READ-2022-W16-R-101,R-101,budi.santoso@ampera.com,7769.8563,7714.6380,55.2183,2022-04-18T00:00:00Z,2022-04-24T23:00:00Z,2022-04-24T23:00:00Z,seed_dataset,verified
READ-2022-W17-R-101,R-101,budi.santoso@ampera.com,7825.9745,7769.8563,56.1182,2022-04-25T00:00:00Z,2022-05-01T23:00:00Z,2022-05-01T23:00:00Z,seed_dataset,verified
READ-2022-W18-R-101,R-101,budi.santoso@ampera.com,7883.6891,7825.9745,57.7146,2022-05-02T00:00:00Z,2022-05-08T23:00:00Z,2022-05-08T23:00:00Z,seed_dataset,verified
READ-2022-W19-R-101,R-101,budi.santoso@ampera.com,7939.6076,7883.6891,55.9185,2022-05-09T00:00:00Z,2022-05-15T23:00:00Z,2022-05-15T23:00:00Z,seed_dataset,verified
READ-2022-W20-R-101,R-101,budi.santoso@ampera.com,7997.3820,7939.6076,57.7744,2022-05-16T00:00:00Z,2022-05-22T23:00:00Z,2022-05-22T23:00:00Z,seed_dataset,verified
READ-2022-W21-R-101,R-101,budi.santoso@ampera.com,8055.0861,7997.3820,57.7041,2022-05-23T00:00:00Z,2022-05-29T23:00:00Z,2022-05-29T23:00:00Z,seed_dataset,verified
READ-2022-W22-R-101,R-101,budi.santoso@ampera.com,8120.9278,8055.0861,65.8417,2022-05-30T00:00:00Z,2022-06-05T23:00:00Z,2022-06-05T23:00:00Z,seed_dataset,verified
READ-2022-W23-R-101,R-101,budi.santoso@ampera.com,8190.2288,8120.9278,69.3010,2022-06-06T00:00:00Z,2022-06-12T23:00:00Z,2022-06-12T23:00:00Z,seed_dataset,verified
READ-2022-W24-R-101,R-101,budi.santoso@ampera.com,8259.8262,8190.2288,69.5974,2022-06-13T00:00:00Z,2022-06-19T23:00:00Z,2022-06-19T23:00:00Z,seed_dataset,verified
READ-2022-W25-R-101,R-101,budi.santoso@ampera.com,8330.9813,8259.8262,71.1551,2022-06-20T00:00:00Z,2022-06-26T23:00:00Z,2022-06-26T23:00:00Z,seed_dataset,verified
READ-2022-W26-R-101,R-101,budi.santoso@ampera.com,8405.9067,8330.9813,74.9254,2022-06-27T00:00:00Z,2022-07-03T23:00:00Z,2022-07-03T23:00:00Z,seed_dataset,verified
READ-2022-W27-R-101,R-101,budi.santoso@ampera.com,8478.4660,8405.9067,72.5593,2022-07-04T00:00:00Z,2022-07-10T23:00:00Z,2022-07-10T23:00:00Z,seed_dataset,verified
READ-2022-W28-R-101,R-101,budi.santoso@ampera.com,8549.4612,8478.4660,70.9952,2022-07-11T00:00:00Z,2022-07-17T23:00:00Z,2022-07-17T23:00:00Z,seed_dataset,verified
READ-2022-W29-R-101,R-101,budi.santoso@ampera.com,8620.6558,8549.4612,71.1946,2022-07-18T00:00:00Z,2022-07-24T23:00:00Z,2022-07-24T23:00:00Z,seed_dataset,verified
READ-2022-W30-R-101,R-101,budi.santoso@ampera.com,8689.7971,8620.6558,69.1413,2022-07-25T00:00:00Z,2022-07-31T23:00:00Z,2022-07-31T23:00:00Z,seed_dataset,verified
READ-2022-W31-R-101,R-101,budi.santoso@ampera.com,8760.5103,8689.7971,70.7132,2022-08-01T00:00:00Z,2022-08-07T23:00:00Z,2022-08-07T23:00:00Z,seed_dataset,verified
