reading_id,room_id,submitted_by,reading_value_kwh,previous_reading_value_kwh,usage_delta_kwh,reading_period_start,reading_period_end,submitted_at,source,verification_status
READ-2015-W42-R-101,R-101,budi.santoso@ampera.local,1838.5060,1734.2250,104.2810,2015-10-12T00:00:00Z,2015-10-18T23:00:00Z,2015-10-18T23:00:00Z,seed_dataset,verified
READ-2015-W43-R-101,R-101,budi.santoso@ampera.local,1923.2400,1838.5060,84.7340,2015-10-19T00:00:00Z,2015-10-25T23:00:00Z,2015-10-25T23:00:00Z,seed_dataset,verified
READ-2015-W44-R-101,R-101,budi.santoso@ampera.local,2022.5950,1923.2400,99.3550,2015-10-26T00:00:00Z,2015-11-01T23:00:00Z,2015-11-01T23:00:00Z,seed_dataset,verified
READ-2015-W45-R-101,R-101,budi.santoso@ampera.local,2134.5250,2022.5950,111.9300,2015-11-02T00:00:00Z,2015-11-08T23:00:00Z,2015-11-08T23:00:00Z,seed_dataset,verified
READ-2015-W46-R-101,R-101,budi.santoso@ampera.local,2240.0700,2134.5250,105.5450,2015-11-09T00:00:00Z,2015-11-15T23:00:00Z,2015-11-15T23:00:00Z,seed_dataset,verified
READ-2015-W47-R-101,R-101,budi.santoso@ampera.local,2355.7910,2240.0700,115.7210,2015-11-16T00:00:00Z,2015-11-22T23:00:00Z,2015-11-22T23:00:00Z,seed_dataset,verified
READ-2015-W48-R-101,R-101,budi.santoso@ampera.local,2446.2200,2355.7910,90.4290,2015-11-23T00:00:00Z,2015-11-29T23:00:00Z,2015-11-29T23:00:00Z,seed_dataset,verified
READ-2015-W49-R-101,R-101,budi.santoso@ampera.local,2537.0060,2446.2200,90.7860,2015-11-30T00:00:00Z,2015-12-06T23:00:00Z,2015-12-06T23:00:00Z,seed_dataset,verified
READ-2015-W50-R-101,R-101,budi.santoso@ampera.local,2628.0150,2537.0060,91.0090,2015-12-07T00:00:00Z,2015-12-13T23:00:00Z,2015-12-13T23:00:00Z,seed_dataset,verified
READ-2015-W51-R-101,R-101,budi.santoso@ampera.local,2725.8900,2628.0150,97.8750,2015-12-14T00:00:00Z,2015-12-20T23:00:00Z,2015-12-20T23:00:00Z,seed_dataset,verified
READ-2015-W52-R-101,R-101,budi.santoso@ampera.local,2839.4560,2725.8900,113.5660,2015-12-21T00:00:00Z,2015-12-27T23:00:00Z,2015-12-27T23:00:00Z,seed_dataset,verified
READ-2015-W53-R-101,R-101,budi.santoso@ampera.local,2966.0700,2839.4560,126.6140,2015-12-28T00:00:00Z,2016-01-03T23:00:00Z,2016-01-03T23:00:00Z,seed_dataset,verified
READ-2016-W01-R-101,R-101,budi.santoso@ampera.local,3086.8930,2966.0700,120.8230,2016-01-04T00:00:00Z,2016-01-10T23:00:00Z,2016-01-10T23:00:00Z,seed_dataset,verified
READ-2016-W02-R-101,R-101,budi.santoso@ampera.local,3195.6830,3086.8930,108.7900,2016-01-11T00:00:00Z,2016-01-17T23:00:00Z,2016-01-17T23:00:00Z,seed_dataset,verified
READ-2016-W03-R-101,R-101,budi.santoso@ampera.local,3308.0310,3195.6830,112.3480,2016-01-18T00:00:00Z,2016-01-24T23:00:00Z,2016-01-24T23:00:00Z,seed_dataset,verified
READ-2016-W04-R-101,R-101,budi.santoso@ampera.local,3407.3130,3308.0310,99.2820,2016-01-25T00:00:00Z,2016-01-31T23:00:00Z,2016-01-31T23:00:00Z,seed_dataset,verified
READ-2016-W05-R-101,R-101,budi.santoso@ampera.local,3509.4510,3407.3130,102.1380,2016-02-01T00:00:00Z,2016-02-07T23:00:00Z,2016-02-07T23:00:00Z,seed_dataset,verified
READ-2016-W06-R-101,R-101,budi.santoso@ampera.local,3617.8830,3509.4510,108.4320,2016-02-08T00:00:00Z,2016-02-14T23:00:00Z,2016-02-14T23:00:00Z,seed_dataset,verified
READ-2016-W07-R-101,R-101,budi.santoso@ampera.local,3720.0800,3617.8830,102.1970,2016-02-15T00:00:00Z,2016-02-21T23:00:00Z,2016-02-21T23:00:00Z,seed_dataset,verified
READ-2016-W08-R-101,R-101,budi.santoso@ampera.local,3832.6720,3720.0800,112.5920,2016-02-22T00:00:00Z,2016-02-28T23:00:00Z,2016-02-28T23:00:00Z,seed_dataset,verified
READ-2016-W09-R-101,R-101,budi.santoso@ampera.local,3931.7730,3832.6720,99.1010,2016-02-29T00:00:00Z,2016-03-06T23:00:00Z,2016-03-06T23:00:00Z,seed_dataset,verified
READ-2016-W10-R-101,R-101,budi.santoso@ampera.local,4034.3950,3931.7730,102.6220,2016-03-07T00:00:00Z,2016-03-13T23:00:00Z,2016-03-13T23:00:00Z,seed_dataset,verified
READ-2016-W11-R-101,R-101,budi.santoso@ampera.local,4149.3300,4034.3950,114.9350,2016-03-14T00:00:00Z,2016-03-20T23:00:00Z,2016-03-20T23:00:00Z,seed_dataset,verified
READ-2016-W12-R-101,R-101,budi.santoso@ampera.local,4258.1800,4149.3300,108.8500,2016-03-21T00:00:00Z,2016-03-27T23:00:00Z,2016-03-27T23:00:00Z,seed_dataset,verified
READ-2016-W13-R-101,R-101,budi.santoso@ampera.local,4368.2550,4258.1800,110.0750,2016-03-28T00:00:00Z,2016-04-03T23:00:00Z,2016-04-03T23:00:00Z,seed_dataset,verified
READ-2016-W14-R-101,R-101,budi.santoso@ampera.local,4454.7110,4368.2550,86.4560,2016-04-04T00:00:00Z,2016-04-10T23:00:00Z,2016-04-10T23:00:00Z,seed_dataset,verified
READ-2016-W15-R-101,R-101,budi.santoso@ampera.local,4538.9430,4454.7110,84.2320,2016-04-11T00:00:00Z,2016-04-17T23:00:00Z,2016-04-17T23:00:00Z,seed_dataset,verified
READ-2016-W16-R-101,R-101,budi.santoso@ampera.local,4641.7710,4538.9430,102.8280,2016-04-18T00:00:00Z,2016-04-24T23:00:00Z,2016-04-24T23:00:00Z,seed_dataset,verified
READ-2016-W17-R-101,R-101,budi.santoso@ampera.local,4736.2350,4641.7710,94.4640,2016-04-25T00:00:00Z,2016-05-01T23:00:00Z,2016-05-01T23:00:00Z,seed_dataset,verified
READ-2016-W18-R-101,R-101,budi.santoso@ampera.local,4823.0330,4736.2350,86.7980,2016-05-02T00:00:00Z,2016-05-08T23:00:00Z,2016-05-08T23:00:00Z,seed_dataset,verified
READ-2016-W19-R-101,R-101,budi.santoso@ampera.local,4935.4290,4823.0330,112.3960,2016-05-09T00:00:00Z,2016-05-15T23:00:00Z,2016-05-15T23:00:00Z,seed_dataset,verified
READ-2016-W20-R-101,R-101,budi.santoso@ampera.local,5032.0000,4935.4290,96.5710,2016-05-16T00:00:00Z,2016-05-22T23:00:00Z,2016-05-22T23:00:00Z,seed_dataset,verified
READ-2016-W21-R-101,R-101,budi.santoso@ampera.local,5120.7200,5032.0000,88.7200,2016-05-23T00:00:00Z,2016-05-29T23:00:00Z,2016-05-29T23:00:00Z,seed_dataset,verified
READ-2016-W22-R-101,R-101,budi.santoso@ampera.local,5202.8100,5120.7200,82.0900,2016-05-30T00:00:00Z,2016-06-05T23:00:00Z,2016-06-05T23:00:00Z,seed_dataset,verified
READ-2016-W23-R-101,R-101,budi.santoso@ampera.local,5285.8900,5202.8100,83.0800,2016-06-06T00:00:00Z,2016-06-12T23:00:00Z,2016-06-12T23:00:00Z,seed_dataset,verified
READ-2016-W24-R-101,R-101,budi.santoso@ampera.local,5380.8630,5285.8900,94.9730,2016-06-13T00:00:00Z,2016-06-19T23:00:00Z,2016-06-19T23:00:00Z,seed_dataset,verified
READ-2016-W25-R-101,R-101,budi.santoso@ampera.local,5470.7930,5380.8630,89.9300,2016-06-20T00:00:00Z,2016-06-26T23:00:00Z,2016-06-26T23:00:00Z,seed_dataset,verified
READ-2016-W26-R-101,R-101,budi.santoso@ampera.local,5540.0600,5470.7930,69.2670,2016-06-27T00:00:00Z,2016-07-03T23:00:00Z,2016-07-03T23:00:00Z,seed_dataset,verified
READ-2016-W27-R-101,R-101,budi.santoso@ampera.local,5619.8900,5540.0600,79.8300,2016-07-04T00:00:00Z,2016-07-10T23:00:00Z,2016-07-10T23:00:00Z,seed_dataset,verified
READ-2016-W28-R-101,R-101,budi.santoso@ampera.local,5718.9100,5619.8900,99.0200,2016-07-11T00:00:00Z,2016-07-17T23:00:00Z,2016-07-17T23:00:00Z,seed_dataset,verified
READ-2016-W29-R-101,R-101,budi.santoso@ampera.local,5817.2420,5718.9100,98.3320,2016-07-18T00:00:00Z,2016-07-24T23:00:00Z,2016-07-24T23:00:00Z,seed_dataset,verified
READ-2016-W30-R-101,R-101,budi.santoso@ampera.local,5903.6600,5817.2420,86.4180,2016-07-25T00:00:00Z,2016-07-31T23:00:00Z,2016-07-31T23:00:00Z,seed_dataset,verified
READ-2016-W31-R-101,R-101,budi.santoso@ampera.local,6010.4100,5903.6600,106.7500,2016-08-01T00:00:00Z,2016-08-07T23:00:00Z,2016-08-07T23:00:00Z,seed_dataset,verified
READ-2016-W32-R-101,R-101,budi.santoso@ampera.local,6101.1490,6010.4100,90.7390,2016-08-08T00:00:00Z,2016-08-14T23:00:00Z,2016-08-14T23:00:00Z,seed_dataset,verified
READ-2016-W33-R-101,R-101,budi.santoso@ampera.local,6194.0620,6101.1490,92.9130,2016-08-15T00:00:00Z,2016-08-21T23:00:00Z,2016-08-21T23:00:00Z,seed_dataset,verified
READ-2016-W34-R-101,R-101,budi.santoso@ampera.local,6285.7490,6194.0620,91.6870,2016-08-22T00:00:00Z,2016-08-28T23:00:00Z,2016-08-28T23:00:00Z,seed_dataset,verified
READ-2016-W35-R-101,R-101,budi.santoso@ampera.local,6371.4620,6285.7490,85.7130,2016-08-29T00:00:00Z,2016-09-04T23:00:00Z,2016-09-04T23:00:00Z,seed_dataset,verified
READ-2016-W36-R-101,R-101,budi.santoso@ampera.local,6463.8870,6371.4620,92.4250,2016-09-05T00:00:00Z,2016-09-11T23:00:00Z,2016-09-11T23:00:00Z,seed_dataset,verified
READ-2016-W37-R-101,R-101,budi.santoso@ampera.local,6548.1810,6463.8870,84.2940,2016-09-12T00:00:00Z,2016-09-18T23:00:00Z,2016-09-18T23:00:00Z,seed_dataset,verified
READ-2016-W38-R-101,R-101,budi.santoso@ampera.local,6649.5360,6548.1810,101.3550,2016-09-19T00:00:00Z,2016-09-25T23:00:00Z,2016-09-25T23:00:00Z,seed_dataset,verified
READ-2016-W39-R-101,R-101,budi.santoso@ampera.local,6757.3410,6649.5360,107.8050,2016-09-26T00:00:00Z,2016-10-02T23:00:00Z,2016-10-02T23:00:00Z,seed_dataset,verified
READ-2016-W40-R-101,R-101,budi.santoso@ampera.local,6859.2660,6757.3410,101.9250,2016-10-03T00:00:00Z,2016-10-09T23:00:00Z,2016-10-09T23:00:00Z,seed_dataset,verified
READ-2016-W41-R-101,R-101,budi.santoso@ampera.local,6969.0820,6859.2660,109.8160,2016-10-10T00:00:00Z,2016-10-16T23:00:00Z,2016-10-16T23:00:00Z,seed_dataset,verified
READ-2016-W42-R-101,R-101,budi.santoso@ampera.local,7069.5410,6969.0820,100.4590,2016-10-17T00:00:00Z,2016-10-23T23:00:00Z,2016-10-23T23:00:00Z,seed_dataset,verified
READ-2016-W43-R-101,R-101,budi.santoso@ampera.local,7155.7370,7069.5410,86.1960,2016-10-24T00:00:00Z,2016-10-30T23:00:00Z,2016-10-30T23:00:00Z,seed_dataset,verified
READ-2016-W44-R-101,R-101,budi.santoso@ampera.local,7268.0610,7155.7370,112.3240,2016-10-31T00:00:00Z,2016-11-06T23:00:00Z,2016-11-06T23:00:00Z,seed_dataset,verified
READ-2016-W45-R-101,R-101,budi.santoso@ampera.local,7348.4310,7268.0610,80.3700,2016-11-07T00:00:00Z,2016-11-13T23:00:00Z,2016-11-13T23:00:00Z,seed_dataset,verified
READ-2016-W46-R-101,R-101,budi.santoso@ampera.local,7423.8370,7348.4310,75.4060,2016-11-14T00:00:00Z,2016-11-20T23:00:00Z,2016-11-20T23:00:00Z,seed_dataset,verified
READ-2016-W47-R-101,R-101,budi.santoso@ampera.local,7532.7570,7423.8370,108.9200,2016-11-21T00:00:00Z,2016-11-27T23:00:00Z,2016-11-27T23:00:00Z,seed_dataset,verified
READ-2016-W48-R-101,R-101,budi.santoso@ampera.local,7651.9360,7532.7570,119.1790,2016-11-28T00:00:00Z,2016-12-04T23:00:00Z,2016-12-04T23:00:00Z,seed_dataset,verified
READ-2016-W49-R-101,R-101,budi.santoso@ampera.local,7759.3170,7651.9360,107.3810,2016-12-05T00:00:00Z,2016-12-11T23:00:00Z,2016-12-11T23:00:00Z,seed_dataset,verified
READ-2016-W50-R-101,R-101,budi.santoso@ampera.local,7871.9020,7759.3170,112.5850,2016-12-12T00:00:00Z,2016-12-18T23:00:00Z,2016-12-18T23:00:00Z,seed_dataset,verified
READ-2016-W51-R-101,R-101,budi.santoso@ampera.local,7980.3270,7871.9020,108.4250,2016-12-19T00:00:00Z,2016-12-25T23:00:00Z,2016-12-25T23:00:00Z,seed_dataset,verified
READ-2016-W52-R-101,R-101,budi.santoso@ampera.local,8077.5770,7980.3270,97.2500,2016-12-26T00:00:00Z,2017-01-01T23:00:00Z,2017-01-01T23:00:00Z,seed_dataset,verified
READ-2017-W01-R-101,R-101,budi.santoso@ampera.local,8174.2610,8077.5770,96.6840,2017-01-02T00:00:00Z,2017-01-08T23:00:00Z,2017-01-08T23:00:00Z,seed_dataset,verified
READ-2017-W02-R-101,R-101,budi.santoso@ampera.local,8279.6160,8174.2610,105.3550,2017-01-09T00:00:00Z,2017-01-15T23:00:00Z,2017-01-15T23:00:00Z,seed_dataset,verified
READ-2017-W03-R-101,R-101,budi.santoso@ampera.local,8377.4410,8279.6160,97.8250,2017-01-16T00:00:00Z,2017-01-22T23:00:00Z,2017-01-22T23:00:00Z,seed_dataset,verified
READ-2017-W04-R-101,R-101,budi.santoso@ampera.local,8482.5870,8377.4410,105.1460,2017-01-23T00:00:00Z,2017-01-29T23:00:00Z,2017-01-29T23:00:00Z,seed_dataset,verified
READ-2017-W05-R-101,R-101,budi.santoso@ampera.local,8594.8710,8482.5870,112.2840,2017-01-30T00:00:00Z,2017-02-05T23:00:00Z,2017-02-05T23:00:00Z,seed_dataset,verified
READ-2017-W06-R-101,R-101,budi.santoso@ampera.local,8697.2420,8594.8710,102.3710,2017-02-06T00:00:00Z,2017-02-12T23:00:00Z,2017-02-12T23:00:00Z,seed_dataset,verified
READ-2017-W07-R-101,R-101,budi.santoso@ampera.local,8807.3320,8697.2420,110.0900,2017-02-13T00:00:00Z,2017-02-19T23:00:00Z,2017-02-19T23:00:00Z,seed_dataset,verified
READ-2017-W08-R-101,R-101,budi.santoso@ampera.local,8914.4920,8807.3320,107.1600,2017-02-20T00:00:00Z,2017-02-26T23:00:00Z,2017-02-26T23:00:00Z,seed_dataset,verified
READ-2017-W09-R-101,R-101,budi.santoso@ampera.local,9012.1860,8914.4920,97.6940,2017-02-27T00:00:00Z,2017-03-05T23:00:00Z,2017-03-05T23:00:00Z,seed_dataset,verified
READ-2017-W10-R-101,R-101,budi.santoso@ampera.local,9096.2760,9012.1860,84.0900,2017-03-06T00:00:00Z,2017-03-12T23:00:00Z,2017-03-12T23:00:00Z,seed_dataset,verified
READ-2015-W16-R-102,R-102,siti.aminah@ampera.local,40.1150,0.0000,40.1150,2015-04-15T09:00:00Z,2015-04-19T23:00:00Z,2015-04-19T23:00:00Z,seed_dataset,verified
READ-2015-W17-R-102,R-102,siti.aminah@ampera.local,88.2500,40.1150,48.1350,2015-04-20T00:00:00Z,2015-04-26T23:00:00Z,2015-04-26T23:00:00Z,seed_dataset,verified
READ-2015-W18-R-102,R-102,siti.aminah@ampera.local,123.2150,88.2500,34.9650,2015-04-27T00:00:00Z,2015-05-03T23:00:00Z,2015-05-03T23:00:00Z,seed_dataset,verified
READ-2015-W19-R-102,R-102,siti.aminah@ampera.local,164.8100,123.2150,41.5950,2015-05-04T00:00:00Z,2015-05-10T23:00:00Z,2015-05-10T23:00:00Z,seed_dataset,verified
READ-2015-W20-R-102,R-102,siti.aminah@ampera.local,195.7550,164.8100,30.9450,2015-05-11T00:00:00Z,2015-05-17T23:00:00Z,2015-05-17T23:00:00Z,seed_dataset,verified
READ-2015-W21-R-102,R-102,siti.aminah@ampera.local,238.0900,195.7550,42.3350,2015-05-18T00:00:00Z,2015-05-24T23:00:00Z,2015-05-24T23:00:00Z,seed_dataset,verified
READ-2015-W22-R-102,R-102,siti.aminah@ampera.local,257.8900,238.0900,19.8000,2015-05-25T00:00:00Z,2015-05-31T23:00:00Z,2015-05-31T23:00:00Z,seed_dataset,verified
READ-2015-W23-R-102,R-102,siti.aminah@ampera.local,276.2250,257.8900,18.3350,2015-06-01T00:00:00Z,2015-06-07T23:00:00Z,2015-06-07T23:00:00Z,seed_dataset,verified
READ-2015-W24-R-102,R-102,siti.aminah@ampera.local,307.6470,276.2250,31.4220,2015-06-08T00:00:00Z,2015-06-14T23:00:00Z,2015-06-14T23:00:00Z,seed_dataset,verified
READ-2015-W25-R-102,R-102,siti.aminah@ampera.local,337.7100,307.6470,30.0630,2015-06-15T00:00:00Z,2015-06-21T23:00:00Z,2015-06-21T23:00:00Z,seed_dataset,verified
READ-2015-W26-R-102,R-102,siti.aminah@ampera.local,374.6420,337.7100,36.9320,2015-06-22T00:00:00Z,2015-06-28T23:00:00Z,2015-06-28T23:00:00Z,seed_dataset,verified
READ-2015-W27-R-102,R-102,siti.aminah@ampera.local,409.8250,374.6420,35.1830,2015-06-29T00:00:00Z,2015-07-05T23:00:00Z,2015-07-05T23:00:00Z,seed_dataset,verified
READ-2015-W28-R-102,R-102,siti.aminah@ampera.local,446.7620,409.8250,36.9370,2015-07-06T00:00:00Z,2015-07-12T23:00:00Z,2015-07-12T23:00:00Z,seed_dataset,verified
READ-2015-W29-R-102,R-102,siti.aminah@ampera.local,487.4450,446.7620,40.6830,2015-07-13T00:00:00Z,2015-07-19T23:00:00Z,2015-07-19T23:00:00Z,seed_dataset,verified
READ-2015-W30-R-102,R-102,siti.aminah@ampera.local,524.4920,487.4450,37.0470,2015-07-20T00:00:00Z,2015-07-26T23:00:00Z,2015-07-26T23:00:00Z,seed_dataset,verified
READ-2015-W31-R-102,R-102,siti.aminah@ampera.local,569.0120,524.4920,44.5200,2015-07-27T00:00:00Z,2015-08-02T23:00:00Z,2015-08-02T23:00:00Z,seed_dataset,verified
READ-2015-W32-R-102,R-102,siti.aminah@ampera.local,606.7820,569.0120,37.7700,2015-08-03T00:00:00Z,2015-08-09T23:00:00Z,2015-08-09T23:00:00Z,seed_dataset,verified
READ-2015-W33-R-102,R-102,siti.aminah@ampera.local,645.0520,606.7820,38.2700,2015-08-10T00:00:00Z,2015-08-16T23:00:00Z,2015-08-16T23:00:00Z,seed_dataset,verified
READ-2015-W34-R-102,R-102,siti.aminah@ampera.local,664.3520,645.0520,19.3000,2015-08-17T00:00:00Z,2015-08-23T23:00:00Z,2015-08-23T23:00:00Z,seed_dataset,verified
READ-2015-W35-R-102,R-102,siti.aminah@ampera.local,687.0100,664.3520,22.6580,2015-08-24T00:00:00Z,2015-08-30T23:00:00Z,2015-08-30T23:00:00Z,seed_dataset,verified
READ-2015-W36-R-102,R-102,siti.aminah@ampera.local,729.6450,687.0100,42.6350,2015-08-31T00:00:00Z,2015-09-06T23:00:00Z,2015-09-06T23:00:00Z,seed_dataset,verified
READ-2015-W37-R-102,R-102,siti.aminah@ampera.local,769.4500,729.6450,39.8050,2015-09-07T00:00:00Z,2015-09-13T23:00:00Z,2015-09-13T23:00:00Z,seed_dataset,verified
READ-2015-W38-R-102,R-102,siti.aminah@ampera.local,810.1900,769.4500,40.7400,2015-09-14T00:00:00Z,2015-09-20T23:00:00Z,2015-09-20T23:00:00Z,seed_dataset,verified
READ-2015-W39-R-102,R-102,siti.aminah@ampera.local,850.9370,810.1900,40.7470,2015-09-21T00:00:00Z,2015-09-27T23:00:00Z,2015-09-27T23:00:00Z,seed_dataset,verified
READ-2015-W40-R-102,R-102,siti.aminah@ampera.local,891.6770,850.9370,40.7400,2015-09-28T00:00:00Z,2015-10-04T23:00:00Z,2015-10-04T23:00:00Z,seed_dataset,verified
READ-2015-W41-R-102,R-102,siti.aminah@ampera.local,938.7130,891.6770,47.0360,2015-10-05T00:00:00Z,2015-10-11T23:00:00Z,2015-10-11T23:00:00Z,seed_dataset,verified
READ-2015-W42-R-102,R-102,siti.aminah@ampera.local,985.3800,938.7130,46.6670,2015-10-12T00:00:00Z,2015-10-18T23:00:00Z,2015-10-18T23:00:00Z,seed_dataset,verified
READ-2015-W43-R-102,R-102,siti.aminah@ampera.local,1030.8100,985.3800,45.4300,2015-10-19T00:00:00Z,2015-10-25T23:00:00Z,2015-10-25T23:00:00Z,seed_dataset,verified
READ-2015-W44-R-102,R-102,siti.aminah@ampera.local,1070.8600,1030.8100,40.0500,2015-10-26T00:00:00Z,2015-11-01T23:00:00Z,2015-11-01T23:00:00Z,seed_dataset,verified
READ-2015-W45-R-102,R-102,siti.aminah@ampera.local,1116.4900,1070.8600,45.6300,2015-11-02T00:00:00Z,2015-11-08T23:00:00Z,2015-11-08T23:00:00Z,seed_dataset,verified
READ-2015-W46-R-102,R-102,siti.aminah@ampera.local,1155.6320,1116.4900,39.1420,2015-11-09T00:00:00Z,2015-11-15T23:00:00Z,2015-11-15T23:00:00Z,seed_dataset,verified
READ-2015-W47-R-102,R-102,siti.aminah@ampera.local,1203.0400,1155.6320,47.4080,2015-11-16T00:00:00Z,2015-11-22T23:00:00Z,2015-11-22T23:00:00Z,seed_dataset,verified
READ-2015-W48-R-102,R-102,siti.aminah@ampera.local,1243.4730,1203.0400,40.4330,2015-11-23T00:00:00Z,2015-11-29T23:00:00Z,2015-11-29T23:00:00Z,seed_dataset,verified
READ-2015-W49-R-102,R-102,siti.aminah@ampera.local,1296.8370,1243.4730,53.3640,2015-11-30T00:00:00Z,2015-12-06T23:00:00Z,2015-12-06T23:00:00Z,seed_dataset,verified
READ-2015-W50-R-102,R-102,siti.aminah@ampera.local,1342.6370,1296.8370,45.8000,2015-12-07T00:00:00Z,2015-12-13T23:00:00Z,2015-12-13T23:00:00Z,seed_dataset,verified
READ-2015-W51-R-102,R-102,siti.aminah@ampera.local,1394.0370,1342.6370,51.4000,2015-12-14T00:00:00Z,2015-12-20T23:00:00Z,2015-12-20T23:00:00Z,seed_dataset,verified
READ-2015-W52-R-102,R-102,siti.aminah@ampera.local,1443.7370,1394.0370,49.7000,2015-12-21T00:00:00Z,2015-12-27T23:00:00Z,2015-12-27T23:00:00Z,seed_dataset,verified
READ-2015-W53-R-102,R-102,siti.aminah@ampera.local,1486.9970,1443.7370,43.2600,2015-12-28T00:00:00Z,2016-01-03T23:00:00Z,2016-01-03T23:00:00Z,seed_dataset,verified
READ-2016-W01-R-102,R-102,siti.aminah@ampera.local,1542.5620,1486.9970,55.5650,2016-01-04T00:00:00Z,2016-01-10T23:00:00Z,2016-01-10T23:00:00Z,seed_dataset,verified
READ-2016-W02-R-102,R-102,siti.aminah@ampera.local,1596.1170,1542.5620,53.5550,2016-01-11T00:00:00Z,2016-01-17T23:00:00Z,2016-01-17T23:00:00Z,seed_dataset,verified
READ-2016-W03-R-102,R-102,siti.aminah@ampera.local,1651.6830,1596.1170,55.5660,2016-01-18T00:00:00Z,2016-01-24T23:00:00Z,2016-01-24T23:00:00Z,seed_dataset,verified
